asset,missing_critical_values,duplicate_date_asset_records,total_ohlc_issues,failed_return_reconciliation,signal_mismatch_count,total_cost_recon_failures,after_cost_return_recon_failures,extreme_return_days,high_cost_days,severe_drawdown_days,data_quality_risk_score,overall_risk_level
AUDUSD,0,0,46,0,0,0,0,12,1250,1002,2494,Critical
SP500,0,0,0,0,0,0,0,13,1205,848,2066,Critical
NASDAQ100,0,0,0,0,0,0,0,10,1205,399,1614,Critical
EURUSD,0,0,30,0,0,0,0,13,1250,0,1413,Critical
GOLD,0,0,0,0,0,0,0,12,1207,180,1399,Critical
