asset,records,extreme_return_days,high_cost_days,severe_drawdown_days,max_abs_return_zscore,max_total_cost,worst_drawdown
AUDUSD,1250,12,1250,1002,8.191772974468607,0.0013802526192888,-0.3316006968021833
EURUSD,1250,13,1250,0,5.870822651986086,0.0009397804825003,-0.0867471256891688
GOLD,1207,12,1207,180,5.818088021047567,0.0016282472133899,-0.1455027186671961
NASDAQ100,1205,10,1205,399,8.325228488355117,0.0027525345165029,-0.2805568120309012
SP500,1205,13,1205,848,8.844749664707136,0.0020855063417857,-0.3117127662450024
