Date,asset,daily_return,return_zscore,total_cost,drawdown_after_cost,extreme_return_flag,high_cost_flag,severe_drawdown_flag
2021-03-11,AUDUSD,0.0018355964221006,0.29797471389605323,0.0,0.0,False,True,False
2021-03-12,AUDUSD,0.0071925636371092,1.125767594666636,0.0008339476971552,0.0,False,True,False
2021-03-15,AUDUSD,-0.003161008372386,-0.4741326578481525,0.0,-0.0031610083723859,False,True,False
2021-03-16,AUDUSD,-0.0016569986020585,-0.24172343626502124,0.0,-0.0048127691879904,False,True,False
2021-03-17,AUDUSD,-0.0005886528586271,-0.07663581016637079,0.0,-0.0053985889962772,False,True,False
2021-03-18,AUDUSD,0.0087052505764562,1.3595176679763674,0.0,0.0,False,True,False
2021-03-19,AUDUSD,-0.0075900744886344,-1.1585403184402574,0.0,-0.0075900744886345,False,True,False
2021-03-22,AUDUSD,-0.0040234310529175,-0.6073997335097147,0.0,-0.0115829674001606,False,True,False
2021-03-23,AUDUSD,0.0029781085672431,0.4745230073582841,0.0,-0.0086393541673659,False,True,False
2021-03-24,AUDUSD,-0.0181782783029667,-2.7946973800507484,0.0,-0.0266605838859202,False,True,False
2021-03-25,AUDUSD,-0.0018012987660374,-0.2640216217198615,0.0,-0.0284138589751021,False,True,False
2021-03-26,AUDUSD,0.0003948776617337,0.07534562449580676,0.0,-0.0280302013115614,False,True,False
2021-03-29,AUDUSD,0.0057119673698742,0.8969763775244446,0.00073889266864,-0.0287483826699517,False,True,False
2021-03-30,AUDUSD,0.0004966678224884,0.09107489201291225,0.0,-0.0287483826699517,False,True,False
2021-03-31,AUDUSD,-0.0042365857636771,-0.6403377644864874,0.0,-0.0287483826699517,False,True,False
2021-04-01,AUDUSD,-0.001931934217726,-0.2842082483210286,0.0,-0.0287483826699517,False,True,False
2021-04-02,AUDUSD,0.0032792333092872,0.5210547309405394,0.0,-0.0287483826699517,False,True,False
2021-04-05,AUDUSD,0.0002621539983804,0.054836314055034016,0.0,-0.0287483826699517,False,True,False
2021-04-06,AUDUSD,0.0049506042352545,0.7793256700955117,0.0,-0.0287483826699517,False,True,False
2021-04-07,AUDUSD,0.0010733732154157,0.18019110262359336,0.0,-0.0287483826699517,False,True,False
2021-04-08,AUDUSD,-0.0069210116081749,-1.0551524373868648,0.0,-0.0287483826699517,False,True,False
2021-04-09,AUDUSD,0.0059257964961427,0.9300186235046963,0.0,-0.0287483826699517,False,True,False
2021-04-12,AUDUSD,-0.0043087471083899,-0.6514885976020476,0.0,-0.0287483826699517,False,True,False
2021-04-13,AUDUSD,0.0002235368865954,0.04886895063306216,0.0,-0.0287483826699517,False,True,False
2021-04-14,AUDUSD,0.0025947926451546,0.4152905762726737,0.0,-0.0287483826699517,False,True,False
2021-04-15,AUDUSD,0.0101468585290764,1.5822841610580956,0.0,-0.0287483826699517,False,True,False
2021-04-16,AUDUSD,0.0034432917767537,0.546406095985002,0.0,-0.0287483826699517,False,True,False
2021-04-19,AUDUSD,-0.0048597521451051,-0.7366334245824463,0.0,-0.0287483826699517,False,True,False
2021-04-20,AUDUSD,0.0068675693409698,1.0755473947218783,0.0,-0.0287483826699517,False,True,False
2021-04-21,AUDUSD,-0.0055627146249965,-0.8452596888374536,0.0,-0.0287483826699517,False,True,False
2021-04-22,AUDUSD,0.003962532047792,0.6266424279473588,0.0,-0.0287483826699517,False,True,False
2021-04-23,AUDUSD,-0.0063260349235561,-0.9632128297723096,0.0,-0.0287483826699517,False,True,False
2021-04-26,AUDUSD,0.0049012839289235,0.7717043805076566,0.0,-0.0287483826699517,False,True,False
2021-04-27,AUDUSD,0.0073084084955572,1.1436686840794028,0.0,-0.0287483826699517,False,True,False
2021-04-28,AUDUSD,-0.0038081171156493,-0.5741280450248684,0.0,-0.0287483826699517,False,True,False
2021-04-29,AUDUSD,0.0040277234406522,0.6367162194661865,0.0,-0.0287483826699517,False,True,False
2021-04-30,AUDUSD,-0.0030347471674355,-0.4546219678661957,0.0,-0.0287483826699517,False,True,False
2021-05-03,AUDUSD,-0.0070233130771414,-1.0709607155233412,0.0,-0.0287483826699517,False,True,False
2021-05-04,AUDUSD,0.0046506763890519,0.73297889852376,0.0,-0.0287483826699517,False,True,False
2021-05-05,AUDUSD,-0.0058146471092044,-0.8841899097053093,0.0,-0.0287483826699517,False,True,False
2021-05-06,AUDUSD,0.0048483928735902,0.76353131591643,0.000613802875604,-0.0246355302856778,False,True,False
2021-05-07,AUDUSD,0.0046591318569149,0.734285491567855,0.0,-0.020091178612729,False,True,False
2021-05-10,AUDUSD,0.0091790679836873,1.4327349681293706,0.0,-0.0110965289234002,False,True,False
2021-05-11,AUDUSD,-0.0025187208941888,-0.3748822834254523,0.0,-0.0135873007583368,False,True,False
2021-05-12,AUDUSD,-0.0001151946013194,-0.003474008159574015,0.0,-0.0137009301759624,False,True,False
2021-05-13,AUDUSD,-0.0134974197618992,-2.0713811414645034,0.0,-0.0270134227321482,False,True,False
2021-05-14,AUDUSD,-0.0007888904734191,-0.10757780875148512,0.0,-0.0277810025737195,False,True,False
2021-05-17,AUDUSD,0.0067962639063581,1.0645288223164988,0.0,-0.0211735456924356,False,True,False
2021-05-18,AUDUSD,-0.0006444191614857,-0.08525317641866197,0.0,-0.0218043202153606,False,True,False
2021-05-19,AUDUSD,0.0020946776830912,0.3380096095340583,0.0,-0.0197553155552193,False,True,False
2021-05-20,AUDUSD,-0.0089447726873287,-1.3678769597641063,0.0,-0.0285233814355402,False,True,False
2021-05-21,AUDUSD,0.0064375127677875,1.009092298896109,0.0,-0.0222694882999243,False,True,False
2021-05-24,AUDUSD,-0.0051481677521306,-0.7812012512306914,0.0,-0.0273030089905329,False,True,False
2021-05-25,AUDUSD,0.0026909991364651,0.43015701942872364,0.0,-0.0246854822276842,False,True,False
2021-05-26,AUDUSD,0.000301606744179,0.06093280499629511,0.0,-0.0243913207914283,False,True,False
2021-05-27,AUDUSD,-0.001707385138392,-0.24950948654113675,0.0,-0.0260570605511955,False,True,False
2021-05-28,AUDUSD,0.0003360697139811,0.06625824379540939,0.0,-0.0257297478261009,False,True,False
2021-05-31,AUDUSD,-0.0041851411476651,-0.6323882129623716,0.0,-0.0298072063474199,False,True,False
2021-06-01,AUDUSD,0.0043317559308753,0.6836972669186544,0.0,-0.0256045679594228,False,True,False
2021-06-02,AUDUSD,0.0016015937886455,0.26181512839159177,0.0,-0.0240439822877821,False,True,False
2021-06-03,AUDUSD,-0.0014954380263937,-0.2167580614585779,0.0,-0.0255034640287568,False,True,False
2021-06-04,AUDUSD,-0.0101402455609583,-1.5526090841594848,0.0,-0.0353850982018085,False,True,False
2021-06-07,AUDUSD,0.0102050130969271,1.5912705773117224,0.0,-0.0255411904954668,False,True,False
2021-06-08,AUDUSD,0.0015877122096901,0.2596700579119853,0.0,-0.0239940303457764,False,True,False
2021-06-09,AUDUSD,-0.0024881450393827,-0.3701575065291047,0.0,-0.0264224747575795,False,True,False
2021-06-10,AUDUSD,-0.0009693749769366,-0.135467430080997,0.0,-0.0273662364486573,False,True,False
2021-06-11,AUDUSD,0.0023934399480072,0.384176268020872,0.0,-0.0250382959441929,False,True,False
2021-06-14,AUDUSD,-0.0050447019551681,-0.7652130536757666,0.0,-0.0299566871588573,False,True,False
2021-06-15,AUDUSD,0.000400977066524,0.07628814358537715,0.0,-0.0295677220368729,False,True,False
2021-06-16,AUDUSD,-0.0033435626776757,-0.5023421182027816,0.000556580836905,-0.0301078460463013,False,True,False
2021-06-17,AUDUSD,-0.0090409452784196,-1.3827381644411223,0.0,-0.0301078460463013,False,True,False
2021-06-18,AUDUSD,-0.0078547607210628,-1.19944133015979,0.0,-0.0301078460463013,False,True,False
2021-06-21,AUDUSD,-0.0070004250545396,-1.0674239116930686,0.0,-0.0301078460463013,False,True,False
2021-06-22,AUDUSD,0.0041178370846648,0.6506411568383869,0.0,-0.0301078460463013,False,True,False
2021-06-23,AUDUSD,0.0026426534084944,0.4226863279304274,0.0,-0.0301078460463013,False,True,False
2021-06-24,AUDUSD,0.0025980546700763,0.4157946452540021,0.0,-0.0301078460463013,False,True,False
2021-06-25,AUDUSD,0.0010084359225728,0.1701565762667281,0.0,-0.0301078460463013,False,True,False
2021-06-28,AUDUSD,0.0017043203814155,0.27768909938073255,0.0,-0.0301078460463013,False,True,False
2021-06-29,AUDUSD,-0.0035018814902466,-0.5268065550152875,0.0,-0.0301078460463013,False,True,False
2021-06-30,AUDUSD,-0.0072408554293145,-1.1045767529503483,0.0,-0.0301078460463013,False,True,False
2021-07-01,AUDUSD,-0.0021159426797133,-0.31264241428117745,0.0,-0.0301078460463013,False,True,False
2021-07-02,AUDUSD,-0.0042539758150372,-0.643024986590777,0.0,-0.0301078460463013,False,True,False
2021-07-05,AUDUSD,0.0070712292359333,1.1070182259558157,0.0,-0.0301078460463013,False,True,False
2021-07-06,AUDUSD,0.0032458081089472,0.515889654924718,0.0,-0.0301078460463013,False,True,False
2021-07-07,AUDUSD,-0.0063640951812236,-0.96909414452988,0.0,-0.0301078460463013,False,True,False
2021-07-08,AUDUSD,-0.0014122207915514,-0.20389880139686423,0.0,-0.0301078460463013,False,True,False
2021-07-09,AUDUSD,-0.0068312191605431,-1.0412771333364086,0.0,-0.0301078460463013,False,True,False
2021-07-12,AUDUSD,0.0076398135351778,1.1948795131621015,0.0,-0.0301078460463013,False,True,False
2021-07-13,AUDUSD,-0.0012118958853393,-0.17294331398249058,0.0,-0.0301078460463013,False,True,False
2021-07-14,AUDUSD,-0.00521303746178,-0.7912253341996854,0.0,-0.0301078460463013,False,True,False
2021-07-15,AUDUSD,0.0051576203408036,0.8113151244827401,0.0,-0.0301078460463013,False,True,False
2021-07-16,AUDUSD,-0.0076709169458898,-1.1710326126608621,0.0,-0.0301078460463013,False,True,False
2021-07-19,AUDUSD,-0.0043110782320701,-0.6518488177619282,0.0,-0.0301078460463013,False,True,False
2021-07-20,AUDUSD,-0.0070082031993444,-1.0686258404405466,0.0,-0.0301078460463013,False,True,False
2021-07-21,AUDUSD,-3.963246412086452e-05,0.008202337189994692,0.0,-0.0301078460463013,False,True,False
2021-07-22,AUDUSD,0.0018675102435299,0.3029062419635282,0.0,-0.0301078460463013,False,True,False
2021-07-23,AUDUSD,0.0037921003556846,0.6003062314164337,0.0,-0.0301078460463013,False,True,False
2021-07-26,AUDUSD,-0.0016637294383925,-0.242763528200493,0.0,-0.0301078460463013,False,True,False
2021-07-27,AUDUSD,0.0027188550942454,0.43446150041807413,0.0,-0.0301078460463013,False,True,False
2021-07-28,AUDUSD,-0.0029612524163137,-0.44326508825301064,0.0,-0.0301078460463013,False,True,False
2021-07-29,AUDUSD,0.0014562181778459,0.2393507580067171,0.0,-0.0301078460463013,False,True,False
2021-07-30,AUDUSD,0.0025753184082182,0.4122812924657416,0.0,-0.0301078460463013,False,True,False
2021-08-02,AUDUSD,-0.007273264437008,-1.109584800370604,0.0,-0.0301078460463013,False,True,False
2021-08-03,AUDUSD,0.002491568469628,0.39933971560939907,0.0,-0.0301078460463013,False,True,False
2021-08-04,AUDUSD,0.0049181162871243,0.7743054242934323,0.0,-0.0301078460463013,False,True,False
2021-08-05,AUDUSD,-0.0018657072721164,-0.2739744365595505,0.0,-0.0301078460463013,False,True,False
2021-08-06,AUDUSD,0.0027088104275114,0.43290933418699795,0.0,-0.0301078460463013,False,True,False
2021-08-09,AUDUSD,-0.0088025358104972,-1.345897606652839,0.0,-0.0301078460463013,False,True,False
2021-08-10,AUDUSD,-0.0009310492328632,-0.12954509066377787,0.0,-0.0301078460463013,False,True,False
2021-08-11,AUDUSD,0.001745616445707,0.28407043170036544,0.0,-0.0301078460463013,False,True,False
2021-08-12,AUDUSD,0.004124390768494,0.6516538740343094,0.0,-0.0301078460463013,False,True,False
2021-08-13,AUDUSD,-0.0044196149491911,-0.6686206063745695,0.0,-0.0301078460463013,False,True,False
2021-08-16,AUDUSD,0.0032998327188433,0.5242378836264178,0.0,-0.0301078460463013,False,True,False
2021-08-17,AUDUSD,-0.0033474859908435,-0.5029483736788726,0.0,-0.0301078460463013,False,True,False
2021-08-18,AUDUSD,-0.0116423282545479,-1.7847205215038286,0.0,-0.0301078460463013,False,True,False
2021-08-19,AUDUSD,-0.0033906533994639,-0.5096188781085369,0.0,-0.0301078460463013,False,True,False
2021-08-20,AUDUSD,-0.0117268940843009,-1.7977881750877187,0.0,-0.0301078460463013,False,True,False
2021-08-23,AUDUSD,-0.0008960463612035,-0.12413622277202628,0.0,-0.0301078460463013,False,True,False
2021-08-24,AUDUSD,0.0097761907242521,1.52500619805232,0.0,-0.0301078460463013,False,True,False
2021-08-25,AUDUSD,0.0054373055145147,0.8545338686644256,0.0,-0.0301078460463013,False,True,False
2021-08-26,AUDUSD,0.0038354754135294,0.6070088231340647,0.0,-0.0301078460463013,False,True,False
2021-08-27,AUDUSD,-0.0052499526953803,-0.7969297125055106,0.0,-0.0301078460463013,False,True,False
