asset,total_ohlc_issues,failed_return_reconciliation,signal_mismatch_count,total_cost_recon_failures,after_cost_return_recon_failures,extreme_return_days,high_cost_days,severe_drawdown_days,worst_drawdown,data_quality_risk_score,performance_risk_level,overall_data_quality_risk_level
AUDUSD,46,0,0,0,0,12,2,1002,-0.3316006968021833,258,High,Medium
EURUSD,30,0,0,0,0,13,2,0,-0.0867471256891688,180,Low,Medium
SP500,0,0,0,0,0,13,2,848,-0.3117127662450024,30,High,Low
GOLD,0,0,0,0,0,12,2,180,-0.1455027186671961,28,Low,Low
NASDAQ100,0,0,0,0,0,10,2,399,-0.2805568120309012,24,Medium,Low
