asset,cumulative_return_before_cost,cumulative_return_after_cost,cost_impact,annualised_return_after_cost,annualised_volatility_after_cost,sharpe_ratio_after_cost,max_drawdown_after_cost,win_rate_after_cost,total_trades,exposure,total_transaction_cost,total_slippage_cost,total_cost
AUDUSD,-0.2992320539410378,-0.3155487183539796,0.016316664412941773,-0.07358611354700173,0.06856690358690319,-1.080128230967724,-0.3316006968021833,0.2112,35.0,0.4576,0.00245,0.021098905822030098,0.0235489058220301
EURUSD,0.060783040522857545,0.045464919147147675,0.01531812137570987,0.009003767977931565,0.050684162683515145,0.20211655014388444,-0.08674712568916887,0.2,31.0,0.4488,0.0015500000000000002,0.013008351561860892,0.014558351561860894
GOLD,0.8470776699866742,0.7974052765649151,0.04967239342175911,0.13022661580779826,0.13488983756368084,0.9753707056217218,-0.1455027186671961,0.35294117647058826,25.0,0.6304888152444076,0.005,0.02222211244313131,0.027222112443131313
NASDAQ100,0.37183392815308935,0.31494431457829175,0.056889613574797604,0.058929223341608994,0.15080762640142556,0.45522877069147855,-0.2805568120309012,0.35933609958506224,25.0,0.6597510373443983,0.0075,0.03492629742228395,0.042426297422283946
SP500,0.15352982357046185,0.1189139536626227,0.03461586990783916,0.023775624244106952,0.11335280421756697,0.2641006048780108,-0.31171276624500244,0.36929460580912865,23.0,0.6946058091286307,0.00575,0.024662523812811345,0.030412523812811343
